config_id,method,trial,params,fitness,head_to_head_score,runtime,memory,bit_string
82,hill_climb,4,"{'numRestarts': 2, 'numIterations': 4}",2.23,2.26,0.00937,21,100011000101000101001
83,hill_climb,0,"{'numRestarts': 2, 'numIterations': 8}",2.59,2.53,0.01864,21,010100111111001100100
83,hill_climb,1,"{'numRestarts': 2, 'numIterations': 8}",2.2,2.34,0.01851,21,100011010110000111101
83,hill_climb,2,"{'numRestarts': 2, 'numIterations': 8}",2.68,2.64,0.01852,21,010101010100011011100
83,hill_climb,3,"{'numRestarts': 2, 'numIterations': 8}",2.62,2.57,0.01855,21,000100011010111000100
83,hill_climb,4,"{'numRestarts': 2, 'numIterations': 8}",2.23,2.37,0.01848,21,001111001110001110011
84,hill_climb,0,"{'numRestarts': 2, 'numIterations': 16}",2.61,2.55,0.03669,21,000000011100011010000
84,hill_climb,1,"{'numRestarts': 2, 'numIterations': 16}",2.64,2.59,0.03691,21,010001001011001001100
84,hill_climb,2,"{'numRestarts': 2, 'numIterations': 16}",2.55,2.49,0.03769,21,010100111111111110010
84,hill_climb,3,"{'numRestarts': 2, 'numIterations': 16}",2.61,2.55,0.0372,21,001000001100100110000
84,hill_climb,4,"{'numRestarts': 2, 'numIterations': 16}",2.61,2.55,0.03713,21,011001001111010100100
85,hill_climb,0,"{'numRestarts': 2, 'numIterations': 32}",2.59,2.54,0.0734,21,001000001100101001010
85,hill_climb,1,"{'numRestarts': 2, 'numIterations': 32}",2.72,2.68,0.07416,21,001001010110001011000
85,hill_climb,2,"{'numRestarts': 2, 'numIterations': 32}",2.66,2.61,0.07305,21,000100000010110001000
85,hill_climb,3,"{'numRestarts': 2, 'numIterations': 32}",2.41,2.32,0.07212,21,011001110100111110010
85,hill_climb,4,"{'numRestarts': 2, 'numIterations': 32}",2.64,2.59,0.0727,21,010001111011101111100
86,hill_climb,0,"{'numRestarts': 2, 'numIterations': 64}",2.61,2.55,0.14771,21,000000110000000010100
86,hill_climb,1,"{'numRestarts': 2, 'numIterations': 64}",2.66,2.61,0.14847,21,010001101010010111100
86,hill_climb,2,"{'numRestarts': 2, 'numIterations': 64}",2.5,2.43,0.14812,21,001000101100101010010
86,hill_climb,3,"{'numRestarts': 2, 'numIterations': 64}",2.72,2.68,0.14736,21,010101101110000100100
86,hill_climb,4,"{'numRestarts': 2, 'numIterations': 64}",2.68,2.64,0.14855,21,011100110100010111000
87,hill_climb,0,"{'numRestarts': 4, 'numIterations': 1}",2.61,2.55,0.00487,21,000000001011010110000
87,hill_climb,1,"{'numRestarts': 4, 'numIterations': 1}",2.62,2.57,0.00495,21,000101001111011000010
87,hill_climb,2,"{'numRestarts': 4, 'numIterations': 1}",2.28,2.29,0.00483,21,100111010100001011101
87,hill_climb,3,"{'numRestarts': 4, 'numIterations': 1}",2.66,2.61,0.00478,21,011100000100100001000
87,hill_climb,4,"{'numRestarts': 4, 'numIterations': 1}",2.68,2.64,0.0047,21,001101000110111101010
88,hill_climb,0,"{'numRestarts': 4, 'numIterations': 2}",2.55,2.49,0.00929,21,001001010011111001110
88,hill_climb,1,"{'numRestarts': 4, 'numIterations': 2}",2.61,2.55,0.00938,21,010000010100101000000
88,hill_climb,2,"{'numRestarts': 4, 'numIterations': 2}",2.55,2.49,0.00956,21,001000010000001110110
88,hill_climb,3,"{'numRestarts': 4, 'numIterations': 2}",2.61,2.55,0.0095,21,000101011000100000000
88,hill_climb,4,"{'numRestarts': 4, 'numIterations': 2}",2.68,2.64,0.00952,21,011101011100011010000
89,hill_climb,0,"{'numRestarts': 4, 'numIterations': 4}",2.71,2.66,0.01886,21,011101011101001110000
89,hill_climb,1,"{'numRestarts': 4, 'numIterations': 4}",2.61,2.55,0.01941,21,010000011000110010000
89,hill_climb,2,"{'numRestarts': 4, 'numIterations': 4}",2.61,2.55,0.01872,21,000001100000001010100
89,hill_climb,3,"{'numRestarts': 4, 'numIterations': 4}",2.64,2.59,0.01895,21,000100010100011001000
89,hill_climb,4,"{'numRestarts': 4, 'numIterations': 4}",2.61,2.55,0.01874,21,001001001000001110000
90,hill_climb,0,"{'numRestarts': 4, 'numIterations': 8}",2.57,2.51,0.03769,21,010000110000000100110
90,hill_climb,1,"{'numRestarts': 4, 'numIterations': 8}",2.35,2.4,0.03799,21,101001001100010101011
90,hill_climb,2,"{'numRestarts': 4, 'numIterations': 8}",2.66,2.61,0.03786,21,011000001001110101000
90,hill_climb,3,"{'numRestarts': 4, 'numIterations': 8}",2.64,2.59,0.03752,21,000001011001001001000
90,hill_climb,4,"{'numRestarts': 4, 'numIterations': 8}",2.66,2.61,0.03725,21,011000111011110101100
91,hill_climb,0,"{'numRestarts': 4, 'numIterations': 16}",2.71,2.66,0.07543,21,001101001101100101000
91,hill_climb,1,"{'numRestarts': 4, 'numIterations': 16}",2.61,2.56,0.07403,21,010100101100000000100
91,hill_climb,2,"{'numRestarts': 4, 'numIterations': 16}",2.63,2.58,0.07532,21,010101011011100111000
91,hill_climb,3,"{'numRestarts': 4, 'numIterations': 16}",2.64,2.59,0.07417,21,001000001011001001000
91,hill_climb,4,"{'numRestarts': 4, 'numIterations': 16}",2.68,2.64,0.07427,21,010000100110011101000
92,hill_climb,0,"{'numRestarts': 4, 'numIterations': 32}",2.72,2.68,0.15046,21,010001001101101011000
92,hill_climb,1,"{'numRestarts': 4, 'numIterations': 32}",2.66,2.61,0.14899,21,001000011001010011000
92,hill_climb,2,"{'numRestarts': 4, 'numIterations': 32}",2.64,2.59,0.14988,21,000001011011000001000
92,hill_climb,3,"{'numRestarts': 4, 'numIterations': 32}",2.72,2.68,0.14964,21,001001110100001011000
92,hill_climb,4,"{'numRestarts': 4, 'numIterations': 32}",2.68,2.64,0.1491,21,010101001100011010110
93,hill_climb,0,"{'numRestarts': 4, 'numIterations': 64}",2.64,2.59,0.29777,21,000101100010010010010
93,hill_climb,1,"{'numRestarts': 4, 'numIterations': 64}",2.68,2.64,0.29734,21,001000010110111011100
