config_id,method,trial,params,fitness,tournament_score,head_to_head_score,runtime,memory,bit_string
7,simulated_annealing,3,"{'numRestarts': 1, 'temperature': 0.45}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",538.61,0.00885,21,1001000101001101000
7,simulated_annealing,4,"{'numRestarts': 1, 'temperature': 0.45}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",565.6,0.00886,21,10101010100110000000
8,simulated_annealing,0,"{'numRestarts': 2, 'temperature': 0.15}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",580.13,0.00513,21,1001100101001011000
8,simulated_annealing,1,"{'numRestarts': 2, 'temperature': 0.15}",358,"[512, 690, 684, 716, 722, 684, 564, 716]",561.01,0.005,21,10101001101101001100
8,simulated_annealing,2,"{'numRestarts': 2, 'temperature': 0.15}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",550.27,0.005,21,10101000110100001000
8,simulated_annealing,3,"{'numRestarts': 2, 'temperature': 0.15}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",596.36,0.00493,21,1100110000011100
8,simulated_annealing,4,"{'numRestarts': 2, 'temperature': 0.15}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",586.44,0.00493,21,11101001100110100100
9,simulated_annealing,0,"{'numRestarts': 2, 'temperature': 0.2}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",579.77,0.00818,21,11001000111001111000
9,simulated_annealing,1,"{'numRestarts': 2, 'temperature': 0.2}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",551.18,0.0084,21,11001111110011011100
9,simulated_annealing,2,"{'numRestarts': 2, 'temperature': 0.2}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",587.49,0.00839,21,11101101100110111100
9,simulated_annealing,3,"{'numRestarts': 2, 'temperature': 0.2}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",601.69,0.00827,21,10001101101001011100
9,simulated_annealing,4,"{'numRestarts': 2, 'temperature': 0.2}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",584.79,0.0084,21,10001010111010011000
10,simulated_annealing,0,"{'numRestarts': 2, 'temperature': 0.25}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",593.94,0.01086,21,1001011111000001100
10,simulated_annealing,1,"{'numRestarts': 2, 'temperature': 0.25}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",582.07,0.01111,21,1101100110100010100
10,simulated_annealing,2,"{'numRestarts': 2, 'temperature': 0.25}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",564.48,0.01111,21,11101111110100011000
10,simulated_annealing,3,"{'numRestarts': 2, 'temperature': 0.25}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",573.26,0.01113,21,1011110101111000
10,simulated_annealing,4,"{'numRestarts': 2, 'temperature': 0.25}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",579.96,0.01107,21,1001001101100111100
11,simulated_annealing,0,"{'numRestarts': 2, 'temperature': 0.3}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",565.04,0.01311,21,10001100111111001000
11,simulated_annealing,1,"{'numRestarts': 2, 'temperature': 0.3}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",580.32,0.01314,21,10001110111010101000
11,simulated_annealing,2,"{'numRestarts': 2, 'temperature': 0.3}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",582.31,0.01327,21,1101001110010011100
11,simulated_annealing,3,"{'numRestarts': 2, 'temperature': 0.3}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",562.44,0.01324,21,10101101100000011100
11,simulated_annealing,4,"{'numRestarts': 2, 'temperature': 0.3}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",558.94,0.01353,21,1101000100100011000
12,simulated_annealing,0,"{'numRestarts': 2, 'temperature': 0.35}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",586.77,0.01508,21,10001011111111101100
12,simulated_annealing,1,"{'numRestarts': 2, 'temperature': 0.35}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",576.68,0.01519,21,11001011111001001100
12,simulated_annealing,2,"{'numRestarts': 2, 'temperature': 0.35}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",567.6,0.01516,21,11001000110000101000
12,simulated_annealing,3,"{'numRestarts': 2, 'temperature': 0.35}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",592.26,0.01558,21,1101110011101100
12,simulated_annealing,4,"{'numRestarts': 2, 'temperature': 0.35}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",545.74,0.0152,21,1001101111100111000
13,simulated_annealing,0,"{'numRestarts': 2, 'temperature': 0.4}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",571.56,0.01672,21,11001111101000111100
13,simulated_annealing,1,"{'numRestarts': 2, 'temperature': 0.4}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",572.05,0.01653,21,10001010101011001000
13,simulated_annealing,2,"{'numRestarts': 2, 'temperature': 0.4}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",551.38,0.01647,21,1001011110100001100
13,simulated_annealing,3,"{'numRestarts': 2, 'temperature': 0.4}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",558.71,0.01653,21,1000100011111000
13,simulated_annealing,4,"{'numRestarts': 2, 'temperature': 0.4}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",555.52,0.01633,21,11001010100011101000
14,simulated_annealing,0,"{'numRestarts': 2, 'temperature': 0.45}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",576.47,0.01797,21,11001100100111111100
14,simulated_annealing,1,"{'numRestarts': 2, 'temperature': 0.45}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",566.01,0.01797,21,10001011111101111100
14,simulated_annealing,2,"{'numRestarts': 2, 'temperature': 0.45}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",575.42,0.01832,21,1001110101010101000
14,simulated_annealing,3,"{'numRestarts': 2, 'temperature': 0.45}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",580.08,0.0182,21,11001110100100101000
14,simulated_annealing,4,"{'numRestarts': 2, 'temperature': 0.45}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",573.01,0.01799,21,1101101100000110000
15,simulated_annealing,0,"{'numRestarts': 3, 'temperature': 0.15}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",553.94,0.00748,21,1001001110101011100
15,simulated_annealing,1,"{'numRestarts': 3, 'temperature': 0.15}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",560.96,0.00752,21,10001101100010111100
15,simulated_annealing,2,"{'numRestarts': 3, 'temperature': 0.15}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",572.91,0.00745,21,10001110111011111100
15,simulated_annealing,3,"{'numRestarts': 3, 'temperature': 0.15}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",542.09,0.00743,21,11001110110011111000
15,simulated_annealing,4,"{'numRestarts': 3, 'temperature': 0.15}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",562.13,0.00735,21,11001110110101101000
16,simulated_annealing,0,"{'numRestarts': 3, 'temperature': 0.2}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",567.95,0.01223,21,10001100111101101000
16,simulated_annealing,1,"{'numRestarts': 3, 'temperature': 0.2}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",564.61,0.01214,21,11001011110011011000
16,simulated_annealing,2,"{'numRestarts': 3, 'temperature': 0.2}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",552.49,0.01217,21,10101111100000001100
16,simulated_annealing,3,"{'numRestarts': 3, 'temperature': 0.2}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",582.92,0.01225,21,1001100100100111000
16,simulated_annealing,4,"{'numRestarts': 3, 'temperature': 0.2}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",584.16,0.01225,21,10001001110101001000
17,simulated_annealing,0,"{'numRestarts': 3, 'temperature': 0.25}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",592.49,0.01628,21,1001010110010011000
17,simulated_annealing,1,"{'numRestarts': 3, 'temperature': 0.25}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",578.35,0.01658,21,1000101011011000
17,simulated_annealing,2,"{'numRestarts': 3, 'temperature': 0.25}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",540.91,0.01676,21,10001011110010101100
17,simulated_annealing,3,"{'numRestarts': 3, 'temperature': 0.25}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",558.59,0.01652,21,11001111101100011000
17,simulated_annealing,4,"{'numRestarts': 3, 'temperature': 0.25}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",544.16,0.01694,21,10001011111110001000
18,simulated_annealing,0,"{'numRestarts': 3, 'temperature': 0.3}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",566.01,0.02031,21,1001010110110101100
18,simulated_annealing,1,"{'numRestarts': 3, 'temperature': 0.3}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",569.9,0.01974,21,11001110111110011000
18,simulated_annealing,2,"{'numRestarts': 3, 'temperature': 0.3}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",543.39,0.01988,21,1001110101000011100
18,simulated_annealing,3,"{'numRestarts': 3, 'temperature': 0.3}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",562.29,0.01979,21,10001011100100111000
18,simulated_annealing,4,"{'numRestarts': 3, 'temperature': 0.3}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",580.34,0.01974,21,1101001110000011000
19,simulated_annealing,0,"{'numRestarts': 3, 'temperature': 0.35}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",579.11,0.02239,21,11001010100101111000
19,simulated_annealing,1,"{'numRestarts': 3, 'temperature': 0.35}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",553.84,0.0225,21,1001001100100011100
19,simulated_annealing,2,"{'numRestarts': 3, 'temperature': 0.35}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",564.49,0.02238,21,11001000100000001100
19,simulated_annealing,3,"{'numRestarts': 3, 'temperature': 0.35}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",541.54,0.02249,21,10001111100001001100
19,simulated_annealing,4,"{'numRestarts': 3, 'temperature': 0.35}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",546.82,0.02287,21,1001000110101101100
20,simulated_annealing,0,"{'numRestarts': 3, 'temperature': 0.4}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",571.72,0.02524,21,1101000110010111000
20,simulated_annealing,1,"{'numRestarts': 3, 'temperature': 0.4}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",571.14,0.02499,21,10001110100010111100
20,simulated_annealing,2,"{'numRestarts': 3, 'temperature': 0.4}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",598.52,0.0245,21,1001000111101111000
20,simulated_annealing,3,"{'numRestarts': 3, 'temperature': 0.4}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",591.62,0.02446,21,1101110100010011100
20,simulated_annealing,4,"{'numRestarts': 3, 'temperature': 0.4}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",586.83,0.02432,21,11101010110000010100
21,simulated_annealing,0,"{'numRestarts': 3, 'temperature': 0.45}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",592.53,0.02667,21,11001001110111111100
21,simulated_annealing,1,"{'numRestarts': 3, 'temperature': 0.45}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",578.52,0.02672,21,1000110111001000
21,simulated_annealing,2,"{'numRestarts': 3, 'temperature': 0.45}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",572.2,0.0273,21,1010100001101000
21,simulated_annealing,3,"{'numRestarts': 3, 'temperature': 0.45}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",561.42,0.02683,21,10101100100100001100
21,simulated_annealing,4,"{'numRestarts': 3, 'temperature': 0.45}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",576.76,0.02672,21,101010100100000100
22,simulated_annealing,0,"{'numRestarts': 4, 'temperature': 0.15}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",579.54,0.01,21,1001100101010001000
22,simulated_annealing,1,"{'numRestarts': 4, 'temperature': 0.15}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",584.86,0.00968,21,11001000100011101000
22,simulated_annealing,2,"{'numRestarts': 4, 'temperature': 0.15}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",572.92,0.00979,21,11001001110001111000
22,simulated_annealing,3,"{'numRestarts': 4, 'temperature': 0.15}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",587.29,0.00984,21,10101000110110000000
22,simulated_annealing,4,"{'numRestarts': 4, 'temperature': 0.15}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",571.96,0.00978,21,10001010100100111100
23,simulated_annealing,0,"{'numRestarts': 4, 'temperature': 0.2}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",597.5,0.01664,21,11101001100100000100
23,simulated_annealing,1,"{'numRestarts': 4, 'temperature': 0.2}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",580.15,0.01697,21,10101111100000101100
23,simulated_annealing,2,"{'numRestarts': 4, 'temperature': 0.2}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",552.56,0.01657,21,10001111110111101100
23,simulated_annealing,3,"{'numRestarts': 4, 'temperature': 0.2}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",572.99,0.01666,21,10001111101010001000
23,simulated_annealing,4,"{'numRestarts': 4, 'temperature': 0.2}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",581.21,0.01686,21,10101101100010101100
24,simulated_annealing,0,"{'numRestarts': 4, 'temperature': 0.25}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",554.31,0.0221,21,10001000110001011100
24,simulated_annealing,1,"{'numRestarts': 4, 'temperature': 0.25}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",579.74,0.02181,21,11101100110100010000
24,simulated_annealing,2,"{'numRestarts': 4, 'temperature': 0.25}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",612.76,0.02204,21,1001101101110001000
24,simulated_annealing,3,"{'numRestarts': 4, 'temperature': 0.25}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",579.83,0.022,21,1010110110101100
24,simulated_annealing,4,"{'numRestarts': 4, 'temperature': 0.25}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",556.42,0.02209,21,11001110111010101000
25,simulated_annealing,0,"{'numRestarts': 4, 'temperature': 0.3}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",578.71,0.02647,21,10101010110000001000
25,simulated_annealing,1,"{'numRestarts': 4, 'temperature': 0.3}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",556.26,0.02705,21,1101101101111100
25,simulated_annealing,2,"{'numRestarts': 4, 'temperature': 0.3}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",547.5,0.0265,21,11001000100010111000
25,simulated_annealing,3,"{'numRestarts': 4, 'temperature': 0.3}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",579.88,0.02653,21,101111100010001000
25,simulated_annealing,4,"{'numRestarts': 4, 'temperature': 0.3}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",576.28,0.02648,21,11001010111010111000
26,simulated_annealing,0,"{'numRestarts': 4, 'temperature': 0.35}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",570.88,0.02961,21,11001100111110011000
26,simulated_annealing,1,"{'numRestarts': 4, 'temperature': 0.35}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",543.06,0.02963,21,1101110110110100000
26,simulated_annealing,2,"{'numRestarts': 4, 'temperature': 0.35}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",588.7,0.02981,21,1101010100110001000
26,simulated_annealing,3,"{'numRestarts': 4, 'temperature': 0.35}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",591.73,0.02958,21,11001111110001111000
26,simulated_annealing,4,"{'numRestarts': 4, 'temperature': 0.35}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",573.31,0.02961,21,1001010110011001000
27,simulated_annealing,0,"{'numRestarts': 4, 'temperature': 0.4}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",550.38,0.03276,21,10001111100101001000
27,simulated_annealing,1,"{'numRestarts': 4, 'temperature': 0.4}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",544.39,0.03236,21,1001100100100111100
27,simulated_annealing,2,"{'numRestarts': 4, 'temperature': 0.4}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",589.8,0.03226,21,10001110111111111000
27,simulated_annealing,3,"{'numRestarts': 4, 'temperature': 0.4}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",563.14,0.03279,21,1010101000001100
27,simulated_annealing,4,"{'numRestarts': 4, 'temperature': 0.4}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",550.63,0.03327,21,101111100010010100
28,simulated_annealing,0,"{'numRestarts': 4, 'temperature': 0.45}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",582.61,0.03556,21,101111110100101000
28,simulated_annealing,1,"{'numRestarts': 4, 'temperature': 0.45}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",579.28,0.03518,21,10101100100010010100
28,simulated_annealing,2,"{'numRestarts': 4, 'temperature': 0.45}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",581.51,0.0352,21,1101110011011100
28,simulated_annealing,3,"{'numRestarts': 4, 'temperature': 0.45}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",559.1,0.03556,21,10001111111000001000
28,simulated_annealing,4,"{'numRestarts': 4, 'temperature': 0.45}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",560.6,0.03602,21,1001101100000011100
29,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 0.15}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",561.14,0.01223,21,11101110110110100000
29,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 0.15}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",566.85,0.01245,21,11001110111101111000
29,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 0.15}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",583.36,0.01227,21,1100110101101100
29,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 0.15}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",572.06,0.01211,21,11001010110101101100
29,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 0.15}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",563.56,0.01212,21,10001101100110011000
30,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 0.2}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",563.36,0.02027,21,11001100101010011000
30,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 0.2}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",596.51,0.02031,21,11101011100000010000
30,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 0.2}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",581.41,0.02034,21,10001110110100101100
30,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 0.2}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",574.13,0.02048,21,1110110000101100
30,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 0.2}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",559.84,0.02051,21,1101001100010011100
31,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 0.25}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",568.91,0.02789,21,1101010100010000000
31,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 0.25}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",565.63,0.02786,21,1010111101101100
31,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 0.25}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",540.57,0.02805,21,1001010111000111100
31,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 0.25}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",580.41,0.02772,21,1101011110100010100
31,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 0.25}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",566.26,0.02697,21,11101100100110100000
32,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 0.3}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",587.05,0.03236,21,10001001111110001100
32,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 0.3}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",600.49,0.03206,21,11101011110010101100
32,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 0.3}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",592.09,0.03218,21,11001110100001001100
32,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 0.3}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",590.22,0.03286,21,1011100111011100
32,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 0.3}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",574.41,0.03342,21,11001101110011001000
33,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 0.35}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",556.9,0.03772,21,1001101110010111000
33,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 0.35}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",576.21,0.0374,21,1100101001111000
33,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 0.35}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",558.52,0.03761,21,10001101101100111000
33,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 0.35}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",574.83,0.03692,21,1101000100100101100
33,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 0.35}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",542.45,0.03698,21,1010100000111100
34,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 0.4}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",556.35,0.04088,21,10001001101111101100
34,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 0.4}",361,"[512, 690, 684, 716, 722, 684, 570, 722]",563.93,0.0408,21,1101101100010000100
34,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 0.4}",361,"[524, 690, 684, 716, 722, 684, 574, 722]",599.68,0.05352,21,10001111100110001000
