config_id,method,trial,params,fitness,head_to_head_score,runtime,memory,bit_string
166,tabu_search,4,"{'numIterations': 4, 'tabuSize': 10}",2.62,2.57,0.00942,21,000000001100011111110
167,tabu_search,0,"{'numIterations': 4, 'tabuSize': 20}",2.61,2.55,0.00918,21,010001001101101000100
167,tabu_search,1,"{'numIterations': 4, 'tabuSize': 20}",2.27,2.34,0.0096,21,111010001100010101001
167,tabu_search,2,"{'numIterations': 4, 'tabuSize': 20}",2.32,2.34,0.00948,21,010001011100011111111
167,tabu_search,3,"{'numIterations': 4, 'tabuSize': 20}",2.61,2.55,0.00958,21,011001010010010110100
167,tabu_search,4,"{'numIterations': 4, 'tabuSize': 20}",2.68,2.64,0.00936,21,000001001110010011010
168,tabu_search,0,"{'numIterations': 4, 'tabuSize': 40}",2.64,2.59,0.00928,21,011100111101101011000
168,tabu_search,1,"{'numIterations': 4, 'tabuSize': 40}",2.7,2.66,0.00932,21,010101111100010010110
168,tabu_search,2,"{'numIterations': 4, 'tabuSize': 40}",2.61,2.55,0.00932,21,000000101010001010000
168,tabu_search,3,"{'numIterations': 4, 'tabuSize': 40}",2.37,2.31,0.00944,21,100011001110001011110
168,tabu_search,4,"{'numIterations': 4, 'tabuSize': 40}",2.59,2.53,0.0094,21,001100011111110110100
169,tabu_search,0,"{'numIterations': 8, 'tabuSize': 5}",2.68,2.64,0.01841,21,010100010110110110000
169,tabu_search,1,"{'numIterations': 8, 'tabuSize': 5}",2.39,2.33,0.01906,21,011110111100010011000
169,tabu_search,2,"{'numIterations': 8, 'tabuSize': 5}",2.62,2.57,0.01882,21,000101001000011111010
169,tabu_search,3,"{'numIterations': 8, 'tabuSize': 5}",2.68,2.64,0.0187,21,010001100101010111010
169,tabu_search,4,"{'numIterations': 8, 'tabuSize': 5}",2.68,2.64,0.01866,21,001001000100010011110
170,tabu_search,0,"{'numIterations': 8, 'tabuSize': 10}",2.36,2.41,0.01884,21,101111011100011111001
170,tabu_search,1,"{'numIterations': 8, 'tabuSize': 10}",2.66,2.61,0.01854,21,000001000000110011100
170,tabu_search,2,"{'numIterations': 8, 'tabuSize': 10}",2.3,2.29,0.01883,21,001111000100001000011
170,tabu_search,3,"{'numIterations': 8, 'tabuSize': 10}",2.65,2.6,0.01853,21,011100001101001001100
170,tabu_search,4,"{'numIterations': 8, 'tabuSize': 10}",2.57,2.51,0.01872,21,001000110101010000110
171,tabu_search,0,"{'numIterations': 8, 'tabuSize': 20}",2.72,2.68,0.01908,21,010001010110000111000
171,tabu_search,1,"{'numIterations': 8, 'tabuSize': 20}",2.7,2.66,0.019,21,000101010100000111110
171,tabu_search,2,"{'numIterations': 8, 'tabuSize': 20}",2.41,2.39,0.01907,21,110100001010010010100
171,tabu_search,3,"{'numIterations': 8, 'tabuSize': 20}",2.32,2.25,0.01912,21,101110101100011010100
171,tabu_search,4,"{'numIterations': 8, 'tabuSize': 20}",2.72,2.68,0.01879,21,011001010110100011000
172,tabu_search,0,"{'numIterations': 8, 'tabuSize': 40}",2.68,2.64,0.01911,21,000001001101010001010
172,tabu_search,1,"{'numIterations': 8, 'tabuSize': 40}",2.59,2.54,0.01905,21,001000011111100001010
172,tabu_search,2,"{'numIterations': 8, 'tabuSize': 40}",2.68,2.64,0.0188,21,000100010100010101100
172,tabu_search,3,"{'numIterations': 8, 'tabuSize': 40}",2.64,2.59,0.01918,21,000100101000010011110
