config_id,method,trial,params,fitness,head_to_head_score,runtime,memory,bit_string
9,genetic,0,"{'pop_size': 2, 'numIterations': 40, 'percentForCrossover': 1.0}",2.61,2.55,0.00433,21,10000110000110010000
9,genetic,1,"{'pop_size': 2, 'numIterations': 40, 'percentForCrossover': 1.0}",1.96,2.01,0.00455,21,111100010111011111110
9,genetic,2,"{'pop_size': 2, 'numIterations': 40, 'percentForCrossover': 1.0}",2.57,2.51,0.00438,21,1000001001010010110
9,genetic,3,"{'pop_size': 2, 'numIterations': 40, 'percentForCrossover': 1.0}",2.55,2.49,0.00443,21,1001001000011000110
9,genetic,4,"{'pop_size': 2, 'numIterations': 40, 'percentForCrossover': 1.0}",2.3,2.29,0.00433,21,111000100001001101
10,genetic,0,"{'pop_size': 2, 'numIterations': 80, 'percentForCrossover': 1.0}",2.08,2.09,0.00877,21,101101010001000111010
10,genetic,1,"{'pop_size': 2, 'numIterations': 80, 'percentForCrossover': 1.0}",2.63,2.58,0.00859,21,11100011001101001100
10,genetic,2,"{'pop_size': 2, 'numIterations': 80, 'percentForCrossover': 1.0}",2.62,2.57,0.00872,21,100111000000101010
10,genetic,3,"{'pop_size': 2, 'numIterations': 80, 'percentForCrossover': 1.0}",2.17,2.14,0.00886,21,11100101011001
10,genetic,4,"{'pop_size': 2, 'numIterations': 80, 'percentForCrossover': 1.0}",2.05,1.94,0.00864,21,10011100101100011110
11,genetic,0,"{'pop_size': 4, 'numIterations': 5, 'percentForCrossover': 1.0}",2.56,2.49,0.0011,21,10000011010111010110
11,genetic,1,"{'pop_size': 4, 'numIterations': 5, 'percentForCrossover': 1.0}",2.72,2.68,0.00113,21,10001001100111101000
11,genetic,2,"{'pop_size': 4, 'numIterations': 5, 'percentForCrossover': 1.0}",2.66,2.61,0.0011,21,1100100010110110000
11,genetic,3,"{'pop_size': 4, 'numIterations': 5, 'percentForCrossover': 1.0}",2.28,2.31,0.00111,21,100000111000100110100
11,genetic,4,"{'pop_size': 4, 'numIterations': 5, 'percentForCrossover': 1.0}",2.16,2.19,0.00113,21,100000110111010010001
12,genetic,0,"{'pop_size': 4, 'numIterations': 10, 'percentForCrossover': 1.0}",2.64,2.59,0.00223,21,1100110100011000010
12,genetic,1,"{'pop_size': 4, 'numIterations': 10, 'percentForCrossover': 1.0}",2.07,2.11,0.00222,21,111110100000110110100
12,genetic,2,"{'pop_size': 4, 'numIterations': 10, 'percentForCrossover': 1.0}",2.23,2.23,0.00233,21,101100001000011011111
12,genetic,3,"{'pop_size': 4, 'numIterations': 10, 'percentForCrossover': 1.0}",2.13,2.18,0.00218,21,110100001100110101101
12,genetic,4,"{'pop_size': 4, 'numIterations': 10, 'percentForCrossover': 1.0}",2.35,2.51,0.00215,21,111101110000110000
13,genetic,0,"{'pop_size': 4, 'numIterations': 20, 'percentForCrossover': 1.0}",2.59,2.53,0.00447,21,100110101001100100
13,genetic,1,"{'pop_size': 4, 'numIterations': 20, 'percentForCrossover': 1.0}",2.22,2.16,0.00436,21,111000101110011000100
13,genetic,2,"{'pop_size': 4, 'numIterations': 20, 'percentForCrossover': 1.0}",2.1,2.06,0.00446,21,1010100000001010011
13,genetic,3,"{'pop_size': 4, 'numIterations': 20, 'percentForCrossover': 1.0}",2.68,2.64,0.00431,21,100001110010010100
13,genetic,4,"{'pop_size': 4, 'numIterations': 20, 'percentForCrossover': 1.0}",2.68,2.64,0.00451,21,100110100110000100
14,genetic,0,"{'pop_size': 4, 'numIterations': 40, 'percentForCrossover': 1.0}",2.67,2.62,0.00866,21,11000100101100101000
14,genetic,1,"{'pop_size': 4, 'numIterations': 40, 'percentForCrossover': 1.0}",2.16,2.21,0.00882,21,1110001110010100011
14,genetic,2,"{'pop_size': 4, 'numIterations': 40, 'percentForCrossover': 1.0}",2.13,2.04,0.00852,21,100101100110111000000
14,genetic,3,"{'pop_size': 4, 'numIterations': 40, 'percentForCrossover': 1.0}",2.31,2.38,0.00874,21,11110011111000110100
14,genetic,4,"{'pop_size': 4, 'numIterations': 40, 'percentForCrossover': 1.0}",2.62,2.57,0.00868,21,1100100010111101010
15,genetic,0,"{'pop_size': 4, 'numIterations': 80, 'percentForCrossover': 1.0}",2.64,2.59,0.01733,21,11100000100011101010
15,genetic,1,"{'pop_size': 4, 'numIterations': 80, 'percentForCrossover': 1.0}",2.3,2.46,0.01741,21,100001101110010110100
15,genetic,2,"{'pop_size': 4, 'numIterations': 80, 'percentForCrossover': 1.0}",2.68,2.64,0.01739,21,1101111100001011010
