config_id,method,trial,params,fitness,head_to_head_score,runtime,memory,bit_string
10,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.9}",2.72,2.68,0.0119,21,001101000110000010000
10,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.9}",2.68,2.64,0.01165,21,001101111110011000000
10,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.9}",2.62,2.57,0.01207,21,010101010101010100010
10,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.9}",2.68,2.64,0.01172,21,011101010100011010110
10,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.9}",2.61,2.55,0.01173,21,010000100111110010100
11,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.99}",2.72,2.68,0.12106,21,011101111100010110000
11,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.99}",2.72,2.68,0.1211,21,000001010100111111100
11,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.99}",2.72,2.68,0.122,21,010001101101010111000
11,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.99}",2.72,2.68,0.12095,21,000001011111000001000
11,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.99}",2.72,2.68,0.11998,21,000001110100111001100
12,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.995}",2.72,2.68,0.24335,21,000101010100000101100
12,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.995}",2.72,2.68,0.26706,21,001001010110011001000
12,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.995}",2.72,2.68,0.23832,21,011001011110100011100
12,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.995}",2.72,2.68,0.23621,21,011001010101000101000
12,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.995}",2.72,2.68,0.23931,21,011001001110001101000
13,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.5}",2.66,2.61,0.00279,21,001001001110001011110
13,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.5}",2.61,2.55,0.00281,21,011001010010001100000
13,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.5}",2.62,2.57,0.00289,21,000101100000000011010
13,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.5}",2.13,2.18,0.00318,21,111110100100011110010
13,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.5}",2.68,2.64,0.00293,21,011000010111010111100
14,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.9}",2.72,2.68,0.01794,21,010101111110110111000
14,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.9}",2.68,2.64,0.01561,21,011001011100000101110
14,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.9}",2.72,2.68,0.0155,21,001001100110010011100
14,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.9}",2.72,2.68,0.01559,21,000001011111100101100
14,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.9}",2.39,2.33,0.01561,21,101111001101000001010
15,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.99}",2.72,2.68,0.15684,21,000001110100000111100
15,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.99}",2.72,2.68,0.15866,21,001101110100110010100
15,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.99}",2.72,2.68,0.15775,21,000001000100100011100
15,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.99}",2.72,2.68,0.15833,21,010001110100001001100
15,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.99}",2.72,2.68,0.15812,21,001001111101111001000
16,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.995}",2.72,2.68,0.31501,21,000001001110100001000
16,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.995}",2.72,2.68,0.31419,21,010001110110011001000
16,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.995}",2.72,2.68,0.31579,21,010101110110010000000
16,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.995}",2.72,2.68,0.3108,21,011101010100000001000
16,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.995}",2.72,2.68,0.31218,21,001001011111101001100
17,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.5}",2.23,2.14,0.00328,21,011110001001000011010
17,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.5}",2.16,2.1,0.00321,21,111100101010111000000
17,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.5}",2.55,2.49,0.00322,21,011100101111111000110
17,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.5}",2.17,2.2,0.0032,21,100111101101100111000
17,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.5}",2.64,2.59,0.00318,21,011100000110011000100
18,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.9}",2.72,2.68,0.01878,21,010001010111100101000
18,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.9}",2.72,2.68,0.01863,21,000001010100011001000
18,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.9}",2.72,2.68,0.01873,21,001001111110111001000
18,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.9}",2.64,2.59,0.01883,21,001001001011001101100
18,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.9}",2.64,2.59,0.01874,21,010100110110011000110
