config_id,method,trial,params,fitness,head_to_head_score,runtime,memory,bit_string
8,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 0.5, 'cooling': 0.995}",2.72,2.68,0.16613,21,000101000100000101000
9,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.5}",2.64,2.59,0.00216,21,011001010000100111100
9,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.5}",2.62,2.57,0.00218,21,011101100000011010010
9,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.5}",2.64,2.59,0.00219,21,010100011100111011100
9,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.5}",2.51,2.44,0.00222,21,001101101101011101010
9,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.5}",2.61,2.55,0.00218,21,000001000001010000100
10,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.9}",2.71,2.66,0.01144,21,001101010111001011100
10,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.9}",2.64,2.59,0.01153,21,001100001010010010110
10,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.9}",2.66,2.61,0.01156,21,010001011001110111100
10,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.9}",2.67,2.62,0.01151,21,011000001101101101100
10,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.9}",2.62,2.56,0.01165,21,010100100011101101000
11,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.99}",2.72,2.68,0.11942,21,000001010100110111000
11,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.99}",2.72,2.68,0.11874,21,010101001100100111100
11,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.99}",2.72,2.68,0.11901,21,011001001111000101100
11,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.99}",2.72,2.68,0.11957,21,001101101110110100100
11,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.99}",2.72,2.68,0.12015,21,011001101100001111100
12,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.995}",2.72,2.68,0.23854,21,011001001100011101100
12,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.995}",2.72,2.68,0.23863,21,001101101100000111000
12,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.995}",2.72,2.68,0.24068,21,010001111111111111100
12,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.995}",2.72,2.68,0.24124,21,010001000101000001000
12,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 1, 'cooling': 0.995}",2.72,2.68,0.24384,21,010101100110000010100
13,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.5}",2.54,2.47,0.00288,21,001000110011100001110
13,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.5}",2.61,2.55,0.00278,21,001000111000101010100
13,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.5}",2.66,2.61,0.00271,21,001101000000010001000
13,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.5}",2.61,2.55,0.00292,21,010101111000001111010
13,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.5}",2.57,2.51,0.00282,21,000100011111000100110
14,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.9}",2.62,2.57,0.01572,21,000101100010111000000
14,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.9}",2.62,2.57,0.01567,21,001100110110101011110
14,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.9}",2.62,2.57,0.01626,21,011100001100110100010
14,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.9}",2.72,2.68,0.01755,21,000001110100001101100
14,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.9}",2.64,2.59,0.01671,21,011001101001000011100
15,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.99}",2.72,2.68,0.15947,21,011101001110110110000
15,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.99}",2.72,2.68,0.15927,21,001101001110110010000
15,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.99}",2.72,2.68,0.15845,21,011101011100110110000
15,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.99}",2.72,2.68,0.17266,21,000101111110110101000
15,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.99}",2.72,2.68,0.15587,21,011001101110011001100
16,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.995}",2.72,2.68,0.30864,21,011001010111010111100
16,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.995}",2.72,2.68,0.30759,21,001001100101001011100
16,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.995}",2.72,2.68,0.31124,21,010001001110011111100
16,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.995}",2.72,2.68,0.31584,21,000101010110100010100
16,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 2, 'cooling': 0.995}",2.72,2.68,0.31138,21,011001000110001111100
17,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.5}",2.61,2.55,0.0032,21,010101010000001001110
17,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.5}",2.61,2.55,0.00318,21,001000110110100100000
17,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.5}",2.33,2.37,0.00324,21,010111110100001111110
17,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.5}",2.67,2.63,0.00322,21,000101001111000100110
17,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.5}",2.66,2.61,0.00324,21,011000101000011011100
18,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.9}",2.7,2.66,0.01869,21,001101001100010011010
18,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.9}",2.68,2.64,0.01884,21,001100110100110010000
18,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.9}",2.72,2.68,0.0189,21,001001010111010011000
18,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.9}",2.66,2.61,0.01873,21,000101110000110000000
18,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.9}",2.72,2.68,0.01872,21,010001000110100101000
19,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.99}",2.72,2.68,0.19304,21,001101100100010111000
19,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.99}",2.72,2.68,0.19478,21,001101111100000011000
